tweet,label
"['supreme', 'court', 'strike', 'cop', 'eviction', 'moratorium', 'certainly', 'lead', 'new', 'homelessness', 'crisis', 'day', 'number', 'american', 'hospitalize', 'void', 'congress', 'refuse', 'act', 'leader', 'care', 'kill', 'people']",0
"['biden', 'spent', 'time', 'claim', 'figure', 'whether', 'power', 'punish', 'american', 'form', 'eviction', 'moratorium', 'mandate', 'vaccine', 'figure', 'mic', 'one', 'dispute', 'authority', 'give', 'bad', 'guy', 'business']",1
"['except', 'violence', 'woman', 'police', 'fund', 'vote', 'twice', 'american', 'rescue', 'plan', 'eviction', 'moratorium', 'jan', 'bipartisan', 'commission', 'ya', 'bacon', 'sure']",0
"['biden', 'extend', 'eviction', 'moratorium', 'later', 'defeat', 'right', 'wing', 'scout', 'pass', 'care', 'act', 'provide', 'unkempt', 'support', 'direct', 'aid', 'american', 'pause', 'student', 'loan', 'repayment', 'till', 'jan', 'work', 'pas', 'liberal', 'agenda', 'con', 'senate', 'dems', 'try', 'inform']",0
"['go', 'celebrate', 'th', 'birthday', 'million', 'dollar', 'malt', 'vineyard', 'mansion', 'million', 'american', 'face', 'eviction', 'pal', 'extend', 'eviction', 'moratorium', 'chitlins']",1
"['course', 'vet', 'vote', 'support', 'american', 'time', 'need', 'health', 'care', 'maternity', 'leave', 'unemployment', 'insurance', 'eviction', 'moratorium', 'put', 'american', 'back', 'work', 'vet', 'insult', 'real', 'injury']",0
"['think', 'gop', 'care', 'look', 'many', 'time', 'vote', 'bill', 'help', 'poor', 'american', 'poverty', 'recently', 'conservative', 'supreme', 'court', 'overrule', 'widen', 'eviction', 'moratorium', 'set', 'another', 'health', 'crisis', 'country']",1
"['afghanistan', 'withdrawal', 'go', 'well', 'eviction', 'moratorium', 'defeat', 'pua', 'end', 'leave', 'many', 'american', 'even', 'worse', 'financially', 'beg', 'reinstate', 'pua', 'homeless', 'financially', 'ruin', 'increase']",0
"['plain', 'widen', 'pr', 'man', 'chief', 'staff', 'like', 'tweet', 'show', 'biden', 'disaster', 'border', 'void', 'case', 'last', 'yr', 'time', 'strand', 'american', 'afghan', 'illegal', 'mandate', 'illegal', 'eviction', 'moratorium', 'wild', 'spending', 'capitulation', 'enemy', 'f']",0
"['progressive', 'caucus', 'say', 'expect', 'cdc', 'eviction', 'moratorium', 'extension', 'want', 'see', 'still', 'want', 'congress', 'act', 'pass', 'concrete', 'protection', 'million', 'american']",0
"['want', 'see', 'truly', 'ignorant', 'fellow', 'american', 'read', 'response', 'scout', 'decision', 'lift', 'eviction', 'moratorium']",1
"['sorry', 'since', 'married', 'child', 'disable', 'look', 'big', 'picture', 'eviction', 'moratorium', 'extension', 'childcare', 'tax', 'credit', 'unemployment', 'credit', 'conversation', 'federal', 'work', 'home', 'disable', 'american', 'act', 'could', 'come']",1
"['remember', 'republican', 'whine', 'biden', 'extend', 'eviction', 'moratorium', 'conservative', 'literally', 'want', 'american', 'remove', 'home']",0
"['read', 'relation', 'eviction', 'moratorium', 'extension', 'cdc', 'remain', 'committed', 'continue', 'explore', 'use', 'tool', 'disposal', 'protect', 'health', 'wellbeing', 'american', 'affect', 'void', 'pandemic']",1
"['rightwing', 'supreme', 'court', 'reject', 'president', 'widen', 'eviction', 'moratorium', 'threaten', 'put', 'hundred', 'thousand', 'american', 'street', 'election', 'matter', 'afford', 'another', 'president', 'stack', 'court', 'alright', 'judge']",0
"['look', 'eviction', 'moratorium', 'massive', 'overreach', 'americans', 'live', 'cdc', 'democrat', 'care', 'want', 'help', 'voter', 'expense', 'others', 'way', 'cdc', 'ever', 'power', 'come', 'contract', 'two', 'american', 'without', 'due', 'process']",1
"['guy', 'authoritarian', 'view', 'try', 'hard', 'thing', 'come', 'fruition', 'think', 'authoritarian', 'try', 'keep', 'american', 'home', 'new', 'eviction', 'moratorium', 'id', 'love', 'hear', 'solution', 'issue', 'please', 'tell']",0
"['peacemaker', 'like', 'portray', 'quit', 'lionize', 'dangerous', 'action', 'kill', 'american', 'lack', 'knowledge', 'leadership', 'r', 'directly', 'lead', 'illness', 'despair', 'death', 'need', 'march', 'town', 'allow', 'eviction', 'moratorium', 'expire']",1
"['know', 'eviction', 'moratorium', 'right', 'let', 'trump', 'live', 'head', 'rent', 'free', 'anymore', 'stick', 'matter', 'hand', 'biden', 'disaster', 'american', 'figure']",1
"['pres', 'biden', 'please', 'extend', 'eviction', 'moratorium', 'void', 'variant', 'rise', 'see', 'nation', 'wide', 'homelessness', 'american', 'protect', 'please', 'explore', 'help', 'new', 'york', 'end', 'aug', 'thank', 'much', 'debbie', 'pig', 'ti']",0
"['right', 'eviction', 'moratorium', 'win', 'still', 'percent', 'american', 'vulnerable', 'plus', 'long', 'go', 'take', 'guidance', 'come', 'people', 'go', 'evicted', 'mean', 'time']",0
"['honest', 'ya', 'place', 'tinfoil', 'hat', 'someone', 'healthy', 'claim', 'government', 'would', 'directly', 'take', 'money', 'american', 'give', 'people', 'reside', 'illegally', 'eviction', 'moratorium', 'happen', 'hang', 'head', 'shame']",0
"['bomb', 'afghanistan', 'today', 'go', 'cover', 'tragedy', 'scout', 'end', 'eviction', 'moratorium', 'end', 'eviction', 'moratorium', 'probably', 'kill', 'american']",0
